Gene,Protein,Description,p_Value,Log2FC
Nell2,NELL2_MOUSE|Q61220,Protein kinase C-binding protein NELL2,3.70E-01,1.80E-01
Nemf,NEMF_MOUSE|Q8CCP0,Nuclear export mediator factor Nemf,8.85E-03,4.79E-01
Ikbkg,NEMO_MOUSE|O88522,NF-kappa-B essential modulator,7.19E-04,1.41E+00
Neo1,NEO1_MOUSE|P97798,Neogenin,1.01E-02,5.49E-01
Neto1,NETO1_MOUSE|Q8R4I7,Neuropilin and tolloid-like protein 1,1.00E-04,1.67E+00
Neto2,NETO2_MOUSE|Q8BNJ6,Neuropilin and tolloid-like protein 2,2.55E-04,1.13E+00
Cmas,NEUA_MOUSE|Q99KK2,N-acylneuraminate cytidylyltransferase,2.73E-02,5.91E-01
Nrgn,NEUG_MOUSE|P60761,Neurogranin,3.10E-01,2.06E-01
Nln,NEUL_MOUSE|Q91YP2,"Neurolysin, mitochondrial",1.56E-02,3.87E-01
Neurl4,NEUL4_MOUSE|Q5NCX5,Neuralized-like protein 4,6.10E-03,6.63E-01
Gap43,NEUM_MOUSE|P06837,Neuromodulin,9.31E-02,4.45E-01
Nexn,NEXN_MOUSE|Q7TPW1,Nexilin,1.23E-04,1.87E+00
Nf1,NF1_MOUSE|Q04690,Neurofibromin,2.66E-03,6.25E-01
Nfasc,NFASC_MOUSE|Q810U3,Neurofascin,1.23E-01,4.10E-01
Nfat5,NFAT5_MOUSE|Q9WV30,Nuclear factor of activated T-cells 5,1.21E-03,1.10E+00
Nefh,NFH_MOUSE|P19246,Neurofilament heavy polypeptide,3.55E-04,1.73E+00
Nfia,NFIA_MOUSE|Q02780,Nuclear factor 1 A-type,1.89E-02,5.79E-01
Nefl,NFL_MOUSE|P08551,Neurofilament light polypeptide,2.14E-03,7.29E-01
Nefm,NFM_MOUSE|P08553,Neurofilament medium polypeptide,4.65E-04,1.61E+00
Nfs1,NFS1_MOUSE|Q9Z1J3,"Cysteine desulfurase, mitochondrial",6.47E-02,5.46E-01
Nfx1,NFX1_MOUSE|B1AY10,Transcriptional repressor NF-X1,9.02E-04,1.38E+00
Ngef,NGEF_MOUSE|Q8CHT1,Ephexin-1,1.36E-02,5.20E-01
Ngly1,NGLY1_MOUSE|Q9JI78,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,8.34E-04,6.08E-01
Nhp2l1,NH2L1_MOUSE|Q9D0T1,NHP2-like protein 1,1.89E-01,1.39E-01
Nhlrc2,NHLC2_MOUSE|Q8BZW8,NHL repeat-containing protein 2,2.40E-03,6.18E-01
Slc9a3r1,NHRF1_MOUSE|P70441,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,5.20E-04,6.45E-01
Nhsl2,NHSL2_MOUSE|B1AXH1,NHS-like protein 2,7.58E-04,1.47E+00
Fam129b,NIBL1_MOUSE|Q8R1F1,Niban-like protein 1,1.62E-03,5.38E-01
Nid2,NID2_MOUSE|O88322,Nidogen-2,6.63E-01,8.11E-02
NA,NIF3L_MOUSE|Q9EQ80,NA,4.24E-01,2.60E-01
Zc3hc1,NIPA_MOUSE|Q80YV2,Nuclear-interacting partner of ALK,3.13E-03,6.10E-01
Nipbl,NIPBL_MOUSE|Q6KCD5,Nipped-B-like protein,2.31E-02,8.63E-01
Nipsnap1,NIPS1_MOUSE|O55125,Protein NipSnap homolog 1,1.14E-01,5.03E-01
Gbas,NIPS2_MOUSE|O55126,Protein NipSnap homolog 2,6.05E-02,5.60E-01
Nisch,NISCH_MOUSE|Q80TM9,Nischarin,1.09E-03,8.66E-01
Nit1,NIT1_MOUSE|Q8VDK1,Nitrilase homolog 1,5.74E-02,2.14E-01
Nit2,NIT2_MOUSE|Q9JHW2,Omega-amidase NIT2,1.29E-01,3.76E-01
Nkap,NKAP_MOUSE|Q9D0F4,NF-kappa-B-activating protein,3.11E-03,7.50E-01
NA,NKAPL_MOUSE|Q5SZT7,NA,9.14E-02,6.39E-01
Nkrf,NKRF_MOUSE|Q8BY02,NF-kappa-B-repressing factor,1.99E-03,6.24E-01
Nlgn1,NLGN1_MOUSE|Q99K10,Neuroligin-1,2.23E-03,6.70E-01
Nlgn2,NLGN2_MOUSE|Q69ZK9,Neuroligin-2,2.31E-02,4.18E-01
Nlgn3,NLGN3_MOUSE|Q8BYM5,Neuroligin-3,1.94E-02,4.54E-01
Nlgn4l,NLGN4_MOUSE|B0F2B4,Neuroligin 4-like,1.44E-02,4.21E-01
Nlrx1,NLRX1_MOUSE|Q3TL44,NLR family member X1,6.87E-03,5.76E-01
Scp2,NLTP_MOUSE|P32020,Non-specific lipid-transfer protein,2.25E-01,1.61E-01
Grin2a,NMDE1_MOUSE|P35436,"Glutamate receptor ionotropic, NMDA 2A",4.94E-04,1.56E+00
Grin2b,NMDE2_MOUSE|Q01097,"Glutamate receptor ionotropic, NMDA 2B",4.85E-04,1.47E+00
Grin1,NMDZ1_MOUSE|P35438,"Glutamate receptor ionotropic, NMDA 1",4.46E-04,8.86E-01
Nmnat1,NMNA1_MOUSE|Q9EPA7,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,7.17E-01,-8.90E-02
Nmral1,NMRL1_MOUSE|Q8K2T1,NmrA-like family domain-containing protein 1,8.86E-02,2.93E-01
Nmt1,NMT1_MOUSE|O70310,Glycylpeptide N-tetradecanoyltransferase 1,8.41E-03,4.96E-01
Nmt2,NMT2_MOUSE|O70311,Glycylpeptide N-tetradecanoyltransferase 2,1.66E-03,8.22E-01
Carkd,NNRD_MOUSE|Q9CZ42,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,2.06E-01,3.95E-01
Apoa1bp,NNRE_MOUSE|Q8K4Z3,NAD(P)H-hydrate epimerase,8.82E-02,3.98E-01
Nnt,NNTM_MOUSE|Q61941,"NAD(P) transhydrogenase, mitochondrial",3.89E-01,-1.07E+00
Zcchc17,NO40_MOUSE|Q9ESX4,Nucleolar protein of 40 kDa,2.40E-05,6.35E-01
Ccrn4l,NOCT_MOUSE|O35710,Nocturnin,3.86E-03,6.65E-01
Olfm1,NOE1_MOUSE|O88998,Noelin,2.04E-01,3.27E-01
Olfm3,NOE3_MOUSE|P63056,Noelin-3,1.21E-03,4.36E-01
Gtpbp4,NOG1_MOUSE|Q99ME9,Nucleolar GTP-binding protein 1,6.80E-01,4.20E-03
Nol8,NOL8_MOUSE|Q3UHX0,Nucleolar protein 8,3.12E-03,1.32E+00
NA,NOLC1_MOUSE|E9Q5C9,NA,4.43E-04,1.39E+00
Nomo1,NOMO1_MOUSE|Q6GQT9,Nodal modulator 1,1.83E-02,3.75E-01
Nono,NONO_MOUSE|Q99K48,Non-POU domain-containing octamer-binding protein,2.89E-04,1.34E+00
Nop2,NOP2_MOUSE|Q922K7,Probable 28S rRNA (cytosine-C(5))-methyltransferase,1.75E-01,1.51E-01
Nop56,NOP56_MOUSE|Q9D6Z1,Nucleolar protein 56,1.37E-02,5.02E-01
Nos1,NOS1_MOUSE|Q9Z0J4,"Nitric oxide synthase, brain",2.66E-04,1.59E+00
Nova1,NOVA1_MOUSE|Q9JKN6,RNA-binding protein Nova-1,1.77E-04,1.08E+00
Nap1l1,NP1L1_MOUSE|P28656,Nucleosome assembly protein 1-like 1,1.15E-02,7.46E-01
Nap1l4,NP1L4_MOUSE|Q78ZA7,Nucleosome assembly protein 1-like 4,5.53E-04,1.40E+00
Nploc4,NPL4_MOUSE|P60670,Nuclear protein localization protein 4 homolog,4.47E-02,4.06E-01
Npm1,NPM_MOUSE|Q61937,Nucleophosmin,2.51E-04,5.44E-01
Nipsnap3b,NPS3B_MOUSE|Q9CQE1,Protein NipSnap homolog 3B,9.45E-01,-7.05E-02
Nptn,NPTN_MOUSE|P97300,Neuroplastin,3.73E-02,4.84E-01
Nptx1,NPTX1_MOUSE|Q62443,Neuronal pentraxin-1,5.81E-01,1.13E-01
Nptxr,NPTXR_MOUSE|Q99J85,Neuronal pentraxin receptor,3.65E-01,2.40E-01
Npy,NPY_MOUSE|P57774,Pro-neuropeptide Y,2.71E-01,-2.53E-01
Nqo1,NQO1_MOUSE|Q64669,NAD(P)H dehydrogenase [quinone] 1,4.36E-01,1.08E-01
Nr2c2,NR2C2_MOUSE|P49117,Nuclear receptor subfamily 2 group C member 2,7.18E-04,1.10E+00
Nrbf2,NRBF2_MOUSE|Q8VCQ3,Nuclear receptor-binding factor 2,7.73E-04,1.45E+00
Nrbp1,NRBP_MOUSE|Q99J45,Nuclear receptor-binding protein,2.15E-02,5.13E-01
Nrbp2,NRBP2_MOUSE|Q91V36,Nuclear receptor-binding protein 2,1.13E-03,5.43E-01
Nrcam,NRCAM_MOUSE|Q810U4,Neuronal cell adhesion molecule,2.88E-01,2.30E-01
Nrcam,NRCAM_MOUSE|Q810U4-2,Neuronal cell adhesion molecule (isoform 2),5.75E-01,1.41E-01
Nrd1,NRDC_MOUSE|Q8BHG1,Nardilysin,2.01E-02,4.77E-01
Nrip2,NRIP2_MOUSE|Q9JHR9,Nuclear receptor-interacting protein 2,3.90E-04,1.45E+00
Nrip3,NRIP3_MOUSE|Q9JJR9,Nuclear receptor-interacting protein 3,1.43E-02,6.89E-01
Nrsn1,NRSN1_MOUSE|P97799,Neurensin-1,2.84E-02,5.11E-01
Nrxn1,NRX1A_MOUSE|Q9CS84,Neurexin-1,9.95E-01,-1.98E-01
Nrxn3,NRX3A_MOUSE|Q6P9K9,Neurexin-3,5.43E-01,2.12E-02
Nsdhl,NSDHL_MOUSE|Q9R1J0,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",1.63E-01,3.48E-01
Nsf,NSF_MOUSE|P46460,Vesicle-fusing ATPase,5.56E-03,5.99E-01
Nsfl1c,NSF1C_MOUSE|Q9CZ44,NSFL1 cofactor p47,5.65E-04,1.49E+00
Smpd3,NSMA2_MOUSE|Q9JJY3,Sphingomyelin phosphodiesterase 3,4.58E-03,6.53E-01
Nsmf,NSMF_MOUSE|Q99NF2,NMDA receptor synaptonuclear signaling and neuronal migration factor,2.41E-03,9.01E-01
Nsun2,NSUN2_MOUSE|Q1HFZ0,tRNA (cytosine(34)-C(5))-methyltransferase,3.25E-04,8.33E-01
Nt5dc3,NT5D3_MOUSE|Q3UHB1,5'-nucleotidase domain-containing protein 3,4.22E-03,5.83E-01
Nutf2,NTF2_MOUSE|P61971,Nuclear transport factor 2,4.54E-01,1.29E-01
Ntng1,NTNG1_MOUSE|Q8R4G0,Netrin-G1,7.89E-01,4.12E-02
Ntm,NTRI_MOUSE|Q99PJ0,Neurotrimin,9.13E-01,-3.91E-02
Ntrk2,NTRK2_MOUSE|P15209,BDNF/NT-3 growth factors receptor,1.03E-02,4.70E-01
Ntrk3,NTRK3_MOUSE|Q6VNS1,NT-3 growth factor receptor,1.95E-03,8.48E-01
Nup107,NU107_MOUSE|Q8BH74,Nuclear pore complex protein Nup107,5.96E-04,7.32E-01
Nup133,NU133_MOUSE|Q8R0G9,Nuclear pore complex protein Nup133,3.19E-03,5.01E-01
Nup155,NU155_MOUSE|Q99P88,Nuclear pore complex protein Nup155,2.21E-03,3.68E-01
Nup214,NU214_MOUSE|Q80U93,Nuclear pore complex protein Nup214,3.43E-04,1.53E+00
Mtnd3,NU3M_MOUSE|P03899,NADH-ubiquinone oxidoreductase chain 3,9.55E-01,-5.47E-02
Mtnd4,NU4M_MOUSE|P03911,NADH-ubiquinone oxidoreductase chain 4,3.99E-02,3.77E-01
Nub1,NUB1_MOUSE|P54729,NEDD8 ultimate buster 1,8.55E-02,5.58E-01
Nubpl,NUBPL_MOUSE|Q9CWD8,Iron-sulfur protein NUBPL,1.64E-01,3.29E-01
Nucks1,NUCKS_MOUSE|Q80XU3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,7.53E-04,1.44E+00
Ncl,NUCL_MOUSE|P09405,Nucleolin,3.37E-04,1.59E+00
Nudt10,NUD10_MOUSE|P0C027,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha,3.14E-02,5.48E-01
Nudt12,NUD12_MOUSE|Q9DCN1,Peroxisomal NADH pyrophosphatase NUDT12,5.15E-03,5.01E-01
Nudt17,NUD17_MOUSE|Q9CWD3,Nucleoside diphosphate-linked moiety X motif 17,3.75E-02,6.62E-01
Nudt18,NUD18_MOUSE|Q3U2V3,8-oxo-dGDP phosphatase NUDT18,5.01E-03,5.26E-01
Nudc,NUDC_MOUSE|O35685,Nuclear migration protein nudC,4.92E-04,1.30E+00
Nudcd1,NUDC1_MOUSE|Q6PIP5,NudC domain-containing protein 1,1.17E-04,4.14E-01
Nudcd2,NUDC2_MOUSE|Q9CQ48,NudC domain-containing protein 2,1.25E-03,3.36E-01
Nudcd3,NUDC3_MOUSE|Q8R1N4,NudC domain-containing protein 3,1.03E-03,9.83E-01
Nudt3,NUDT3_MOUSE|Q9JI46,Diphosphoinositol polyphosphate phosphohydrolase 1,2.84E-01,2.84E-01
Nudt5,NUDT5_MOUSE|Q9JKX6,ADP-sugar pyrophosphatase,2.80E-03,9.90E-01
Nudt9,NUDT9_MOUSE|Q8BVU5,"ADP-ribose pyrophosphatase, mitochondrial",4.17E-04,8.31E-01
Nufip2,NUFP2_MOUSE|Q5F2E7,Nuclear fragile X mental retardation-interacting protein 2,9.35E-04,1.41E+00
NA,NUMA1_MOUSE|E9Q7G0,NA,3.57E-02,4.80E-01
Numb,NUMB_MOUSE|Q9QZS3,Protein numb homolog,1.31E-03,1.11E+00
Numbl,NUMBL_MOUSE|O08919,Numb-like protein,1.11E-03,1.23E+00
Nup50,NUP50_MOUSE|Q9JIH2,Nuclear pore complex protein Nup50,5.86E-04,1.56E+00
Nup62,NUP62_MOUSE|Q63850,Nuclear pore glycoprotein p62,2.96E-04,1.12E+00
Nup88,NUP88_MOUSE|Q8CEC0,Nuclear pore complex protein Nup88,2.34E-04,1.15E+00
Nup93,NUP93_MOUSE|Q8BJ71,Nuclear pore complex protein Nup93,1.38E-02,3.73E-01
Nup98,NUP98_MOUSE|Q6PFD9,Nuclear pore complex protein Nup98-Nup96,1.36E-04,1.23E+00
Nwd2,NWD2_MOUSE|Q6P5U7,NACHT and WD repeat domain-containing protein 2,6.84E-04,7.85E-01
Nxf1,NXF1_MOUSE|Q99JX7,Nuclear RNA export factor 1,4.43E-02,3.28E-01
Nxn,NXN_MOUSE|P97346,Nucleoredoxin,2.22E-01,1.86E-01
Fam114a1,NXP20_MOUSE|Q9D281,Protein Noxp20,4.03E-04,1.21E+00
Nyap1,NYAP1_MOUSE|Q6PFX7,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1,7.80E-04,1.36E+00
Nyap2,NYAP2_MOUSE|Q8BM65,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2,1.78E-03,1.36E+00
Nyap2,NYAP2_MOUSE|Q8BM65-4,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2 (isoform 4),1.63E-03,1.34E+00
Oat,OAT_MOUSE|P29758,"Ornithine aminotransferase, mitochondrial",2.10E-01,1.98E-01
Ociad1,OCAD1_MOUSE|Q9CRD0,OCIA domain-containing protein 1,4.82E-03,6.43E-01
Ociad2,OCAD2_MOUSE|Q9D8W7,OCIA domain-containing protein 2,2.75E-01,2.90E-01
Ocrl,OCRL_MOUSE|Q6NVF0,Inositol polyphosphate 5-phosphatase OCRL-1,4.35E-04,1.04E+00
Dbt,ODB2_MOUSE|P53395,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",4.57E-01,1.55E-01
Bckdha,ODBA_MOUSE|P50136,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",1.05E-03,9.90E-01
Ogdh,ODO1_MOUSE|Q60597,"2-oxoglutarate dehydrogenase, mitochondrial",7.14E-03,5.20E-01
Dlst,ODO2_MOUSE|Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",8.22E-01,1.00E-01
Dlat,ODP2_MOUSE|Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",4.05E-01,2.22E-01
Pdha1,ODPA_MOUSE|P35486,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",3.71E-01,2.48E-01
Pdhb,ODPB_MOUSE|Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",2.69E-01,3.41E-01
Pdhx,ODPX_MOUSE|Q8BKZ9,"Pyruvate dehydrogenase protein X component, mitochondrial",1.20E-01,3.51E-01
Mgea5,OGA_MOUSE|Q9EQQ9,Protein O-GlcNAcase,1.38E-03,6.40E-01
Ogfr,OGFR_MOUSE|Q99PG2,Opioid growth factor receptor,3.29E-02,4.55E-01
Ogt,OGT1_MOUSE|Q8CGY8,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,8.11E-03,5.49E-01
Ola1,OLA1_MOUSE|Q9CZ30,Obg-like ATPase 1,5.97E-02,4.34E-01
Opa1,OPA1_MOUSE|P58281,"Dynamin-like 120 kDa protein, mitochondrial",7.85E-02,4.56E-01
Opa3,OPA3_MOUSE|Q505D7,Optic atrophy 3 protein homolog,4.45E-02,3.60E-01
Opalin,OPALI_MOUSE|Q7M750,Opalin,5.10E-01,3.44E-01
Ophn1,OPHN1_MOUSE|Q99J31,Oligophrenin-1,1.38E-03,7.60E-01
Oplah,OPLA_MOUSE|Q8K010,5-oxoprolinase,2.00E-02,3.40E-01
Orai2,ORAI2_MOUSE|Q8BH10,Protein orai-2,2.36E-02,4.10E-01
NA,OSB10_MOUSE|S4R1M9,NA,1.83E-03,6.25E-01
Osbpl11,OSB11_MOUSE|Q8CI95,Oxysterol-binding protein-related protein 11,1.70E-03,7.68E-01
Osbpl1a,OSBL1_MOUSE|Q91XL9,Oxysterol-binding protein-related protein 1,2.55E-03,6.22E-01
Osbpl2,OSBL2_MOUSE|Q8BX94,Oxysterol-binding protein-related protein 2,5.44E-03,6.41E-01
Osbpl3,OSBL3_MOUSE|Q9DBS9,Oxysterol-binding protein-related protein 3,6.36E-04,9.45E-01
Osbpl6,OSBL6_MOUSE|Q8BXR9,Oxysterol-binding protein-related protein 6,4.35E-04,1.03E+00
NA,OSBL8_MOUSE|B9EJ86,NA,1.50E-03,8.38E-01
Osbp,OSBP1_MOUSE|Q3B7Z2,Oxysterol-binding protein 1,2.58E-03,5.33E-01
Osbp2,OSBP2_MOUSE|Q5QNQ6,Oxysterol-binding protein 2,1.42E-03,7.38E-01
Oscp1,OSCP1_MOUSE|Q8BHW2,Protein OSCP1,5.31E-04,1.36E+00
Osgep,OSGEP_MOUSE|Q8BWU5,Probable tRNA N6-adenosine threonylcarbamoyltransferase,4.04E-02,3.66E-01
Ddost,OST48_MOUSE|O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,8.64E-02,3.37E-01
Ostc,OSTC_MOUSE|Q78XF5,Oligosaccharyltransferase complex subunit OSTC,4.62E-02,2.98E-01
Otud6b,OTU6B_MOUSE|Q8K2H2,OTU domain-containing protein 6B,3.53E-04,8.45E-01
Otud7a,OTU7A_MOUSE|Q8R554,OTU domain-containing protein 7A,1.51E-03,7.73E-01
Otub1,OTUB1_MOUSE|Q7TQI3,Ubiquitin thioesterase OTUB1,1.39E-01,3.71E-01
Otud4,OTUD4_MOUSE|B2RRE7,OTU domain-containing protein 4,4.35E-04,1.14E+00
Cd200,OX2G_MOUSE|O54901,OX-2 membrane glycoprotein,2.31E-02,6.60E-01
Oxa1l,OXA1L_MOUSE|Q8BGA9,Mitochondrial inner membrane protein OXA1L,7.83E-02,4.72E-01
Oxr1,OXR1_MOUSE|Q4KMM3,Oxidation resistance protein 1,9.07E-04,1.26E+00
Oxsm,OXSM_MOUSE|Q9D404,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",3.04E-01,2.80E-01
Oxsr1,OXSR1_MOUSE|Q6P9R2,Serine/threonine-protein kinase OSR1,2.33E-02,4.96E-01
P2rx3,P2RX3_MOUSE|Q3UR32,P2X purinoceptor 3,9.92E-01,-4.90E-01
P2rx7,P2RX7_MOUSE|Q9Z1M0,P2X purinoceptor 7,4.28E-02,2.25E-01
P33monox,P33MX_MOUSE|Q9DBN4,Putative monooxygenase p33MONOX,4.70E-04,1.70E+00
Pik3c2a,P3C2A_MOUSE|Q61194,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,1.52E-01,1.94E-01
P4ha1,P4HA1_MOUSE|Q60715,Prolyl 4-hydroxylase subunit alpha-1,5.49E-02,1.35E-01
Pycr1,P5CR1_MOUSE|Q922W5,"Pyrroline-5-carboxylate reductase 1, mitochondrial",1.54E-02,2.08E-01
Pycr2,P5CR2_MOUSE|Q922Q4,Pyrroline-5-carboxylate reductase 2,5.50E-03,4.39E-01
Pycrl,P5CR3_MOUSE|Q9DCC4,Pyrroline-5-carboxylate reductase 3,2.74E-01,2.35E-01
Aldh18a1,P5CS_MOUSE|Q9Z110,Delta-1-pyrroline-5-carboxylate synthase,4.61E-02,4.69E-01
Trp53i11,P5I11_MOUSE|Q4QQM4,Tumor protein p53-inducible protein 11,4.06E-02,4.28E-01
Gatad2b,P66B_MOUSE|Q8VHR5,Transcriptional repressor p66-beta,7.99E-03,1.17E+00
Pafah1b3,PA1B3_MOUSE|Q61205,Platelet-activating factor acetylhydrolase IB subunit gamma,9.06E-02,3.41E-01
Pa2g4,PA2G4_MOUSE|P50580,Proliferation-associated protein 2G4,1.66E-01,2.29E-01
Pabpc1,PABP1_MOUSE|P29341,Polyadenylate-binding protein 1,7.83E-03,4.93E-01
Pabpn1,PABP2_MOUSE|Q8CCS6,Polyadenylate-binding protein 2,1.83E-01,1.24E-01
Pacsin1,PACN1_MOUSE|Q61644,Protein kinase C and casein kinase substrate in neurons protein 1,6.22E-03,8.67E-01
Pacsin2,PACN2_MOUSE|Q9WVE8,Protein kinase C and casein kinase substrate in neurons protein 2,6.09E-04,8.02E-01
Adcyap1r1,PACR_MOUSE|P70205,Pituitary adenylate cyclase-activating polypeptide type I receptor,5.02E-03,5.81E-01
Pacs1,PACS1_MOUSE|Q8K212,Phosphofurin acidic cluster sorting protein 1,6.72E-04,1.19E+00
Pacs2,PACS2_MOUSE|Q3V3Q7,Phosphofurin acidic cluster sorting protein 2,5.61E-04,9.59E-01
Padi2,PADI2_MOUSE|Q08642,Protein-arginine deiminase type-2,1.34E-01,3.87E-01
Pla2g7,PAFA_MOUSE|Q60963,Platelet-activating factor acetylhydrolase,7.67E-01,-3.46E-02
Serpine1,PAI1_MOUSE|P22777,Plasminogen activator inhibitor 1,4.10E-01,4.43E-02
Paip1,PAIP1_MOUSE|Q8VE62,Polyadenylate-binding protein-interacting protein 1,6.87E-04,8.98E-01
Serbp1,PAIRB_MOUSE|Q9CY58,Plasminogen activator inhibitor 1 RNA-binding protein,2.36E-03,8.22E-01
Pak1,PAK1_MOUSE|O88643,Serine/threonine-protein kinase PAK 1,1.07E-03,1.01E+00
Pak2,PAK2_MOUSE|Q8CIN4,Serine/threonine-protein kinase PAK 2,6.30E-04,1.14E+00
Pak3,PAK3_MOUSE|Q61036,Serine/threonine-protein kinase PAK 3,5.39E-04,1.30E+00
NA,PAK5_MOUSE|Q8C015,NA,7.81E-04,1.07E+00
Pak6,PAK6_MOUSE|Q3ULB5,Serine/threonine-protein kinase PAK 6,9.20E-04,7.97E-01
Palm,PALM_MOUSE|Q9Z0P4,Paralemmin-1,1.06E-03,1.26E+00
Palm2,PALM2_MOUSE|Q8BR92,Paralemmin-2,8.56E-04,1.38E+00
Palmd,PALMD_MOUSE|Q9JHU2,Palmdelphin,1.07E-03,1.27E+00
Pan3,PAN3_MOUSE|Q640Q5,PAB-dependent poly(A)-specific ribonuclease subunit PAN3,9.16E-04,1.15E+00
Pank4,PANK4_MOUSE|Q80YV4,Pantothenate kinase 4,6.15E-03,6.47E-01
Panx2,PANX2_MOUSE|Q6IMP4,Pannexin-2,5.65E-04,1.38E+00
Papss1,PAPS1_MOUSE|Q60967,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,8.02E-02,3.26E-01
Pard3,PARD3_MOUSE|Q99NH2,Partitioning defective 3 homolog,5.53E-04,1.16E+00
Park7,PARK7_MOUSE|Q99LX0,Protein deglycase DJ-1,9.81E-02,2.82E-01
Parl,PARL_MOUSE|Q5XJY4,"Presenilins-associated rhomboid-like protein, mitochondrial",1.66E-01,3.10E-01
Parn,PARN_MOUSE|Q8VDG3,Poly(A)-specific ribonuclease PARN,5.87E-04,8.72E-01
Parp1,PARP1_MOUSE|P11103,Poly [ADP-ribose] polymerase 1,4.42E-03,3.14E-01
Parva,PARVA_MOUSE|Q9EPC1,Alpha-parvin,7.74E-03,3.36E-01
Pcp4l1,PC4L1_MOUSE|Q6W8Q3,Purkinje cell protein 4-like protein 1,1.57E-04,1.73E+00
Pcbp1,PCBP1_MOUSE|P60335,Poly(rC)-binding protein 1,1.31E-03,7.73E-01
Pcbp2,PCBP2_MOUSE|Q61990,Poly(rC)-binding protein 2,5.73E-03,5.29E-01
Pcbp3,PCBP3_MOUSE|P57722,Poly(rC)-binding protein 3,2.07E-03,7.23E-01
Pcca,PCCA_MOUSE|Q91ZA3,"Propionyl-CoA carboxylase alpha chain, mitochondrial",3.19E-01,1.64E-01
Pccb,PCCB_MOUSE|Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial",1.90E-02,2.32E-01
Pcdh19,PCD19_MOUSE|Q80TF3,Protocadherin-19,1.38E-03,1.12E+00
Pcdha4,PCDA4_MOUSE|O88689,Protocadherin alpha-4,4.19E-03,8.75E-01
Pcdhga4,PCDG4_MOUSE|Q91XY4,Protocadherin gamma-A4,1.44E-01,2.75E-01
Pcdh8,PCDH8_MOUSE|Q7TSK3,Protocadherin-8,1.45E-02,5.47E-01
Pck2,PCKGM_MOUSE|Q8BH04,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",4.81E-02,5.63E-01
Pclo,PCLO_MOUSE|Q9QYX7,Protein piccolo,6.87E-04,1.50E+00
Pcm1,PCM1_MOUSE|Q9R0L6,Pericentriolar material 1 protein,8.72E-03,1.14E+00
Pcna,PCNA_MOUSE|P17918,Proliferating cell nuclear antigen,1.49E-01,-1.10E-01
Pcnp,PCNP_MOUSE|Q6P8I4,PEST proteolytic signal-containing nuclear protein,6.15E-04,1.57E+00
Pcp4,PCP4_MOUSE|P63054,Purkinje cell protein 4,2.00E-03,6.80E-01
Pcsk1n,PCSK1_MOUSE|Q9QXV0,ProSAAS,2.71E-01,6.87E-01
Pcyt2,PCY2_MOUSE|Q922E4,Ethanolamine-phosphate cytidylyltransferase,4.55E-03,5.65E-01
Pcyox1,PCYOX_MOUSE|Q9CQF9,Prenylcysteine oxidase,9.09E-02,3.14E-01
Pdcd10,PDC10_MOUSE|Q8VE70,Programmed cell death protein 10,4.12E-01,3.03E-01
Pdcd6ip,PDC6I_MOUSE|Q9WU78,Programmed cell death 6-interacting protein,1.07E-02,5.38E-01
Pdcd4,PDCD4_MOUSE|Q61823,Programmed cell death protein 4,2.02E-02,5.55E-01
Pdcd5,PDCD5_MOUSE|P56812,Programmed cell death protein 5,2.41E-03,5.61E-01
Pdcd6,PDCD6_MOUSE|P12815,Programmed cell death protein 6,1.80E-01,3.75E-01
Pde10a,PDE10_MOUSE|Q8CA95,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",2.79E-03,6.98E-01
Pde12,PDE12_MOUSE|Q3TIU4,"2',5'-phosphodiesterase 12",8.85E-03,5.77E-01
